"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.490314842847355,0.327567576331931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.509685157152645,0.672432423668069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.015068361568962,NA,NA,NA,NA,NA,NA,0.938842526194376,0.24332710109734,0.385275870263037,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412836226017972,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00957887526391162,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0167419864675207,NA,NA,NA,0.726340529699374,0,0.0512601347637816,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0110532263087686,NA,NA,NA,NA,0,0.062508287152015,0.128836440119503
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0177591483815442,NA,NA,NA
"phyt",NA,NA,0.73500858306066,NA,NA,NA,NA,NA,NA,0.0611574738056239,0.756672898902659,0.201887903718991,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.709949708619003,0.143644027058295,0.815724408808912,0.394921603392703,0.154261280881218,NA,NA,NA,NA,NA,NA,NA,0.00818888172381966
"carnzoo",NA,NA,NA,NA,NA,NA,0.24599105376101,0.295020387741151,0.333865546453889,NA,NA,NA,NA,0.726879811739894,0,0.658678624488688
"fishplar",NA,NA,NA,0.00610599849678574,NA,NA,0.125997620959876,0.456585892380688,0.0960011067189311,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0359180498286749,NA,NA,0.0965703891116427,0.0941324389969429,0.00554947663723098,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.295901519726827,NA,NA,NA,NA,0.273120188260106,0.133042490376826,0.0107179049223214
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0280976549063778,NA,NA,NA,NA,0,0.0448784173582672,0.160106733750177
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00244602975851867,NA,NA,NA,NA,0,0.70831067034911,0.033471414995491
"benthslar",NA,NA,0.00372411094157274,0.149463514037473,0.61391665888153,0.123402266344273,0.0485458508321495,0,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.246198944428806,0.098562729018064,0.242439314060175,0.0608733248468154,0.0879734819426189,0,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.178743833913837,NA,NA,NA,0.24632144665517,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0315996191080992,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
